Prey ,475, Predator ,414, Grass ,1200
Prey ,476, Predator ,418, Grass ,1187
Prey ,464, Predator ,419, Grass ,1185
Prey ,481, Predator ,423, Grass ,1201
Prey ,480, Predator ,424, Grass ,1183
Prey ,491, Predator ,424, Grass ,1183
Prey ,480, Predator ,432, Grass ,1195
Prey ,492, Predator ,429, Grass ,1206
Prey ,494, Predator ,420, Grass ,1205
Prey ,487, Predator ,426, Grass ,1214
Prey ,482, Predator ,423, Grass ,1226
Prey ,475, Predator ,428, Grass ,1221
Prey ,482, Predator ,429, Grass ,1214
Prey ,496, Predator ,433, Grass ,1211
Prey ,499, Predator ,437, Grass ,1208
Prey ,488, Predator ,445, Grass ,1202
Prey ,497, Predator ,443, Grass ,1193
Prey ,468, Predator ,438, Grass ,1198
Prey ,462, Predator ,438, Grass ,1205
Prey ,477, Predator ,437, Grass ,1218
Prey ,475, Predator ,440, Grass ,1210
Prey ,469, Predator ,436, Grass ,1206
Prey ,464, Predator ,439, Grass ,1214
Prey ,465, Predator ,435, Grass ,1210
Prey ,458, Predator ,436, Grass ,1213
Prey ,445, Predator ,443, Grass ,1210
Prey ,457, Predator ,448, Grass ,1212
Prey ,459, Predator ,451, Grass ,1211
Prey ,465, Predator ,450, Grass ,1204
Prey ,459, Predator ,457, Grass ,1212
Prey ,450, Predator ,447, Grass ,1197
Prey ,471, Predator ,454, Grass ,1203
Prey ,465, Predator ,454, Grass ,1214
Prey ,470, Predator ,444, Grass ,1207
Prey ,448, Predator ,454, Grass ,1199
Prey ,452, Predator ,453, Grass ,1196
Prey ,474, Predator ,449, Grass ,1197
Prey ,478, Predator ,453, Grass ,1193
Prey ,484, Predator ,448, Grass ,1179
Prey ,472, Predator ,438, Grass ,1174
Prey ,483, Predator ,443, Grass ,1174
Prey ,497, Predator ,438, Grass ,1173
Prey ,497, Predator ,436, Grass ,1187
Prey ,498, Predator ,445, Grass ,1180
Prey ,488, Predator ,446, Grass ,1194
