Generation,0,mu,20,lambda,1seed,465324460210203971
parameters,4074,887,3470,0.210023,0.075691,7,193,37,0,fitnesses,1.0,1223.886963,0.0,
parameters,2353,1966,3554,0.130266,0.183857,1,79,112,1,fitnesses,1.0,244.75,0.0,
parameters,4628,914,1842,0.123957,0.029317,167,100,54,2,fitnesses,1.0,911.060974,0.0,
parameters,4928,2602,854,0.008934,0.003748,82,75,84,3,fitnesses,1.0,351.356995,0.0,
parameters,4293,3464,1268,0.075956,0.036007,110,94,134,4,fitnesses,1.0,491.089996,0.0,
parameters,1523,1353,3849,0.029514,0.00881,88,94,133,5,fitnesses,1.0,197.832993,0.0,
parameters,3361,41,4920,0.079694,0.14352,49,194,15,6,fitnesses,1.0,2353.927002,0.0,
parameters,9,653,1138,0.160005,0.117684,4,199,191,7,fitnesses,1.0,13.467,0.0,
parameters,831,818,3364,0.107331,0.240123,27,182,109,8,fitnesses,1.0,252.876007,0.0,
parameters,660,2573,4236,0.120255,0.121393,28,97,7,9,fitnesses,3.0,1512.598022,0.0,
parameters,4866,3244,2919,0.049741,0.04473,4,69,97,10,fitnesses,1.0,392.390015,0.0,
parameters,3539,4195,4148,0.057889,0.063166,21,15,153,11,fitnesses,1.0,125.839996,0.0,
parameters,995,3249,3282,0.166702,0.134288,39,129,187,12,fitnesses,1.0,216.283005,0.0,
parameters,1120,1669,4619,0.154794,0.174173,106,26,117,13,fitnesses,3.0,276.052002,0.0,
parameters,3950,843,4187,0.248121,0.038044,11,136,136,14,fitnesses,1.0,885.335022,0.0,
parameters,2579,2582,3529,0.037468,0.013558,155,10,114,15,fitnesses,2.0,4024.23291,0.0,
parameters,1380,3641,145,0.152302,0.013356,133,122,84,16,fitnesses,1.0,264.089996,0.0,
parameters,255,3593,2547,0.164533,0.236564,98,102,47,17,fitnesses,1.0,91.122002,0.0,
parameters,2360,2227,3815,0.029936,0.146096,38,185,161,18,fitnesses,1.0,475.187988,0.0,
parameters,3639,2894,2452,0.165157,0.081948,126,158,40,19,fitnesses,1.0,813.276978,0.0,
Generation,1
parameters,660,2573,4236,0.120255,0.121393,28,97,7,9,fitnesses,3.0,1512.598022,0.0,
parameters,1120,1669,4619,0.154794,0.174173,106,26,117,13,fitnesses,3.0,276.052002,0.0,
parameters,2579,2582,3529,0.037468,0.013558,155,10,114,15,fitnesses,2.0,4024.23291,0.0,
parameters,4628,914,3554,0.130266,0.183857,167,163,54,1,fitnesses,1.0,1208.743042,0.0,
parameters,4074,887,3470,0.210023,0.075691,7,193,37,0,fitnesses,1.0,1223.886963,0.0,
parameters,2353,1966,3554,0.130266,0.183857,1,79,112,1,fitnesses,1.0,244.75,0.0,
parameters,4628,914,1842,0.123957,0.029317,167,100,54,2,fitnesses,1.0,911.060974,0.0,
parameters,4928,2602,854,0.008934,0.003748,82,75,84,3,fitnesses,1.0,351.356995,0.0,
parameters,4293,3464,1268,0.075956,0.036007,110,94,134,4,fitnesses,1.0,491.089996,0.0,
parameters,1523,1353,3849,0.029514,0.00881,88,94,133,5,fitnesses,1.0,197.832993,0.0,
parameters,3361,41,4920,0.079694,0.14352,49,194,15,6,fitnesses,1.0,2353.927002,0.0,
parameters,9,653,1138,0.160005,0.117684,4,199,191,7,fitnesses,1.0,13.467,0.0,
parameters,831,818,3364,0.107331,0.240123,27,182,109,8,fitnesses,1.0,252.876007,0.0,
parameters,4866,3244,2919,0.049741,0.04473,4,69,97,10,fitnesses,1.0,392.390015,0.0,
parameters,3539,4195,4148,0.057889,0.063166,21,15,153,11,fitnesses,1.0,125.839996,0.0,
parameters,995,3249,3282,0.166702,0.134288,39,129,187,12,fitnesses,1.0,216.283005,0.0,
parameters,3950,843,4187,0.248121,0.038044,11,136,136,14,fitnesses,1.0,885.335022,0.0,
parameters,1380,3641,145,0.152302,0.013356,133,122,84,16,fitnesses,1.0,264.089996,0.0,
parameters,255,3593,2547,0.164533,0.236564,98,102,47,17,fitnesses,1.0,91.122002,0.0,
parameters,2360,2227,3815,0.029936,0.146096,38,185,161,18,fitnesses,1.0,475.187988,0.0,
Generation,2
parameters,660,2573,4236,0.120255,0.121393,28,97,7,9,fitnesses,3.0,1512.598022,0.0,
parameters,1120,1669,4619,0.154794,0.174173,106,26,117,13,fitnesses,3.0,276.052002,0.0,
parameters,2579,2582,3529,0.037468,0.013558,155,10,114,15,fitnesses,2.0,4024.23291,0.0,
parameters,831,818,1138,0.2253280374330071,0.240123,4,199,191,7,fitnesses,1.0,286.475006,0.0,
parameters,4628,914,3554,0.130266,0.183857,167,163,54,1,fitnesses,1.0,1208.743042,0.0,
parameters,4074,887,3470,0.210023,0.075691,7,193,37,0,fitnesses,1.0,1223.886963,0.0,
parameters,2353,1966,3554,0.130266,0.183857,1,79,112,1,fitnesses,1.0,244.75,0.0,
parameters,4628,914,1842,0.123957,0.029317,167,100,54,2,fitnesses,1.0,911.060974,0.0,
parameters,4928,2602,854,0.008934,0.003748,82,75,84,3,fitnesses,1.0,351.356995,0.0,
parameters,4293,3464,1268,0.075956,0.036007,110,94,134,4,fitnesses,1.0,491.089996,0.0,
parameters,1523,1353,3849,0.029514,0.00881,88,94,133,5,fitnesses,1.0,197.832993,0.0,
parameters,3361,41,4920,0.079694,0.14352,49,194,15,6,fitnesses,1.0,2353.927002,0.0,
parameters,9,653,1138,0.160005,0.117684,4,199,191,7,fitnesses,1.0,13.467,0.0,
parameters,831,818,3364,0.107331,0.240123,27,182,109,8,fitnesses,1.0,252.876007,0.0,
parameters,4866,3244,2919,0.049741,0.04473,4,69,97,10,fitnesses,1.0,392.390015,0.0,
parameters,3539,4195,4148,0.057889,0.063166,21,15,153,11,fitnesses,1.0,125.839996,0.0,
parameters,995,3249,3282,0.166702,0.134288,39,129,187,12,fitnesses,1.0,216.283005,0.0,
parameters,3950,843,4187,0.248121,0.038044,11,136,136,14,fitnesses,1.0,885.335022,0.0,
parameters,1380,3641,145,0.152302,0.013356,133,122,84,16,fitnesses,1.0,264.089996,0.0,
parameters,255,3593,2547,0.164533,0.236564,98,102,47,17,fitnesses,1.0,91.122002,0.0,
Generation,3
parameters,660,2573,4236,0.120255,0.121393,28,97,7,9,fitnesses,3.0,1512.598022,0.0,
parameters,1120,1669,4619,0.154794,0.174173,106,26,117,13,fitnesses,3.0,276.052002,0.0,
parameters,2579,2582,3529,0.037468,0.013558,155,10,114,15,fitnesses,2.0,4024.23291,0.0,
parameters,2579,2582,2919,0.037468,0.023792005322852722,8,126,114,10,fitnesses,1.0,364.889008,0.0,
parameters,831,818,1138,0.2253280374330071,0.240123,4,199,191,7,fitnesses,1.0,286.475006,0.0,
parameters,4628,914,3554,0.130266,0.183857,167,163,54,1,fitnesses,1.0,1208.743042,0.0,
parameters,4074,887,3470,0.210023,0.075691,7,193,37,0,fitnesses,1.0,1223.886963,0.0,
